siteID,date,observer,forayNumber,startTime,endTime,pathDist
JENSKEINC1,2018-06-20,EAF,2,1015,1055,1530
KALIELINC1,2018-06-29,EAF,1,0910,1020,2160
KALIELINC1,2018-06-29,EAF,2,1030,1102,1037
MCCODINNC1,2018-06-21,EAF,1,0950,1140,3370
MOSELYNNC1,2018-07-12,EAF,1,1040,1200,2020
NEWTROBNC1,2018-06-30,EAF,1,0900,1045,3000
OWENEDDNC1,2018-07-01,EAF,1,0930,1046,2170
OWENEDDNC1,2018-07-01,EAF,2,1055,1120,630
OWENEDDNC1,2018-07-01,EAF,3,1122,1135,515
ROBELINNC1,2018-07-10,EAF,1,0930,1130,3320
ROSETRANC1,2018-07-11,EAF,1,0930,1030,2010
SALITYLNC1,2018-06-27,EAF,1,1030,1130,1830
SALITYLNC1,2018-06-27,EAF,2,1139,1205,781
SPEAMARNC2,2018-06-22,EAF,1,1000,1100,1930
WOLFMARNC1,2018-06-15,EAF,1,1030,1130,1510
WOUKKARNC1,2018-06-18,EAF,1,0925,1045,1990
ATHEJIMMA2,2016-06-20,SMB,1,1425,1542,800
NICHGLONC1,2017-04-26,AJB,1,0923,1110,1190
CAMPSUSNC1,2017-05-04,AJB,1,0855,1115,1250
DURBLAUNC1,2017-06-15,AJB,1,0605,0625,310
DURBLAUNC1,2017-06-15,AJB,2,0920,1100,1120
PELLVOLMA1,2017-06-19,JLK,1,1000,1055,2930
WILDSIEMA1,2017-07-30,JLK,1,1045,1200,1500
WILDSIEMA1,2017-07-30,,0,,,0
HERRJAYFL1,2018-04-14,ERF,1,0930,1100,2400
STEPGREFL1,2018-04-16,ERF,1,0930,1100,1790
NOSSANDFL1,2018-04-17,ERF,1,0930,1100,1970
PROWGARFL1,2018-04-18,ERF,1,0930,1100,2140
CIBUJEAFL1,2018-04-19,ERF,1,0930,1100,2310
BLOOLEEFL1,2018-04-20,ERF,1,0930,1100,1990
LICHJERFL1,2018-04-24,ERF,1,0930,1100,2410
BARNCYNCO1,2018-04-25,CAW,1,1030,1120,1450
ELLIJONFL1,2018-04-25,ERF,1,0930,1100,1870
GOWAJOAFL1,2018-04-28,ERF,1,0930,1100,2310
BANDCATFL1,2018-04-30,ERF,1,0930,1100,1980
RACKTRACO1,2018-05-01,CAW,1,0920,1015,1820
STRARICFL1,2018-05-02,ERF,1,0930,1100,2380
CASTTOMNC1,2018-05-03,EAF,1,1100,1300,4820
COXANDFL1,2018-05-03,ERF,1,0930,1100,2750
SPLAMARMA2,2018-05-03,KMB,1,0912,1100,2350
BOSCJOEDC1,2018-05-04,EIE,1,1000,1242,3540
BOSCJOEDC1,2018-05-04,,0,,,0
JACOSUSFL1,2018-05-04,ERF,1,0730,0900,2120
WILDSIEMA1,2018-05-04,DTM,1,0913,1144,2830
WILDSIEMA1,2018-05-04,DTM,1,0913,1144,0
LAUESARFL1,2018-05-05,ERF,1,0930,1100,1950
DELMMARCO1,2018-05-06,CAW,1,0950,1040,1020
BEALTOMMD1,2018-05-07,EIE,1,0803,1025,4220
GOODNANMA1,2018-05-07,KMB,1,0901,1035,2270
JANTCARCO1,2018-05-07,CAW,1,0950,1030,1220
SCHRCATCO1,2018-05-08,CAW,1,0930,1030,1900
WHELGWEMA1,2018-05-08,DTM,1,0915,1128,0
AAROJESFL1,2018-05-09,ERF,1,0730,0900,2240
CALLEVEMA1,2018-05-09,KMB,1,0902,1108,2630
SULLLORCO1,2018-05-09,CAW,1,0935,1030,1860
BOUGROBFL1,2018-05-10,ERF,1,0730,0900,2010
DOPPJANMA1,2018-05-10,KMB,1,0924,1156,0
GORNSARCO1,2018-05-10,CAW,1,0955,1040,1680
DOYLPHIMA1,2018-05-11,KMB,1,0935,1157,0
CLARBRYMA1,2018-05-13,KMB,1,0811,1007,3460
KOWAELIFL1,2018-05-13,ERF,1,0930,1100,1800
BOHLGEOCO1,2018-05-14,CAW,1,0950,1050,1460
CANNANNMA1,2018-05-14,DTM,1,0950,1226,0
CONNJOHNC1,2018-05-14,EAF,1,1035,1200,2640
KARMALYPA3,2018-05-16,AMV,1,1000,1130,0
KARMALYPA3,2018-05-16,,0,,,0
SHARAMACO1,2018-05-16,CAW,1,0910,1005,1460
GERSREBCO1,2018-05-18,CAW,1,1105,1158,1810
LAMMLAUFL1,2018-05-18,ERF,1,0930,1100,0
ATHEJIMMA2,2018-05-20,JLK,1,0955,1055,0
ATHEJIMMA2,2018-05-20,DTM,2,1219,1248,614
ATHEJIMMA2,2018-05-20,,0,,,0
AKREMICMA1,2018-05-21,JLK,1,0955,1055,0
AKREMICMA1,2018-05-21,DTM,2,1219,1248,614
AKREMICMA1,2018-05-21,,0,,,0
CALVCARMA1,2018-05-21,KMB,1,0851,1038,0
CALVCARMA1,2018-05-21,,0,,,0
REIMAMBCO1,2018-05-21,CAW,1,0845,0938,1680
DOYLJAMFL1,2018-05-23,ERF,1,0730,0900,1680
DOYLJAMFL1,2018-05-23,,0,,,0
HALLGRAFL1,2018-05-23,ERF,1,0930,1100,0
HALLGRAFL1,2018-05-23,,0,,,0
JORGJANMA1,2018-05-24,DTM,1,0955,1130,0
JORGJANMA1,2018-05-24,,0,,,0
FAERHOWMA1,2018-05-25,DTM,1,0952,1140,0
FAERHOWMA1,2018-05-25,,0,,,0
HAGGHENCO1,2018-05-25,CAW,1,0940,1030,1540
HAZZIANFL1,2018-05-25,ERF,1,0730,0900,1880
HAZZIANFL1,2018-05-25,,0,,,0
KLUBKARFL1,2018-05-25,ERF,1,0930,1100,0
KLUBKARFL1,2018-05-25,,0,,,0
PINKSUSPA1,2018-05-25,AMV,1,0935,1110,2660
PINKSUSPA1,2018-05-25,RWR,2,0935,1110,2660
PINKSUSPA1,2018-05-25,,0,,,0
