siteID,observer,date,startTime,interval,spp,d10,d20,d30,d40,d50,detection
ALCOKENGA1,"CLG, KEN",2017-04-22,0754,3,NOCA,0,0,1,0,0,A
ALCOKENGA1,"CLG, KEN",2017-04-22,0754,3,SOSP,0,0,2,0,0,V
JOHNNORNC1,AJB,2017-04-22,0635,1,CARW,0,0,0,1,1,A
JOHNNORNC1,AJB,2017-04-22,0635,1,NOCA,0,0,0,0,2,A
JOHNNORNC1,AJB,2017-04-22,0635,2,CARW,0,0,1,0,1,A
JOHNNORNC1,AJB,2017-04-22,0635,3,CACH,0,0,0,1,0,A
JOHNNORNC1,AJB,2017-04-22,0635,3,CARW,0,0,0,0,2,A
ARLINESVA1,AKW,2017-04-24,0821,1,AMRO,1,0,1,2,0,B
RICHALMA1,KMB,2018-07-03,0000,1,AMRO,0,0,0,1,1,A
RICHALMA1,KMB,2018-07-03,0000,1,SOSP,0,0,0,0,1,A
RICHALMA1,KMB,2018-07-03,0000,1,EAPH,0,0,0,1,0,A
RICHALMA1,KMB,2018-07-03,0000,1,CHSP,0,0,1,0,0,A
RICHALMA1,KMB,2018-07-03,0000,1,SOSP,1,0,0,0,0,V
RICHALMA1,KMB,2018-07-03,0000,1,AMGO,0,0,2,0,0,A
RICHALMA1,KMB,2018-07-03,0000,1,AMCR,0,0,0,0,1,A
RICHALMA1,KMB,2018-07-03,0000,1,HOFI,0,4,0,0,0,B
RICHALMA1,KMB,2018-07-03,0000,2,AMRO,0,0,0,2,0,V
RICHALMA1,KMB,2018-07-03,0000,2,AMRO,0,0,0,1,0,A
RICHALMA1,KMB,2018-07-03,0000,2,SOSP,0,0,0,0,1,A
RICHALMA1,KMB,2018-07-03,0000,2,CHSP,1,0,0,0,0,A
RICHALMA1,KMB,2018-07-03,0000,2,SOSP,0,0,0,2,0,V
RICHALMA1,KMB,2018-07-03,0000,2,AMRO,0,0,1,0,0,A
RICHALMA1,KMB,2018-07-03,0000,2,AMRO,1,0,0,0,0,V
